SMILES,frag_list,LogVP
CCNc1[n]c(NC(C)C)[n]c([n]1)OC,"[170.104, 212.151, 114.066, 212.15, 212.15, 170.103, 212.151, 170.104, 96.056, 170.104, 212.15, 100.051, 170.104, 100.05, 142.072, 100.051, 68.024, 69.008, 212.15, 170.103, 212.151, 170.104, 212.151, 170.104, 96.056, 170.104, 212.151, 100.051, 170.104, 100.051, 142.072, 100.05, 68.024, 69.008, 170.104, 212.15, 114.066]",-5.5376
COc1[n]c(NCC)[n]c(NC(C)CC)[n]1,"[170.104, 114.066, 142.072, 226.166, 226.167, 170.104, 96.056, 226.166, 170.104, 100.05, 170.104, 226.167, 100.051, 170.104, 100.051, 142.072, 100.05, 68.024, 69.008, 226.167, 173.114, 226.166, 170.104, 100.05, 226.167, 170.104, 100.051, 170.104, 226.167, 100.051, 170.103, 100.05, 142.072, 100.05, 68.024, 69.008, 170.104, 114.066, 226.166]",-5.1367
CCNc1[n]c(NC(C)(C)C)[n]c([n]1)OC,"[170.104, 114.067, 142.072, 226.167, 226.166, 170.104, 170.104, 226.166, 142.072, 170.104, 142.072, 114.066, 170.103, 142.072, 100.051, 100.051, 69.008, 75.055, 226.166, 170.104, 226.167, 170.104, 170.104, 226.166, 142.072, 170.104, 142.072, 114.066, 170.104, 142.072, 100.051, 100.051, 69.008, 75.055, 170.104, 114.066, 226.167]",-5.699
CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,"[171.088, 253.166, 71.06, 253.166, 171.088, 71.06, 171.088, 253.166, 71.06, 171.088, 71.06, 85.076, 71.06, 171.088, 85.076, 71.06, 85.076, 171.088, 71.06, 85.076, 83.024, 71.06, 85.076, 58.065, 71.06, 69.045, 85.076, 69.045, 71.06, 55.029]",-6.6478
N#Cc1c(Cl)cccc1Cl,"[171.971, 171.971, 171.971, 171.971, 164.002, 164.001, 171.971, 164.001, 100.018, 171.971, 171.971, 171.971, 164.001, 171.971, 164.001, 164.001, 171.972, 100.018]",-3.1805
[O-][N+](=O)c1cc(Cl)c(cc1)NC(=O)c1cc(Cl)ccc1O,"[174.992, 251.0, 98.984, 98.984, 154.989, 174.992, 98.984, 154.989, 127.018, 98.984, 154.989, 127.018, 98.984, 154.989, 127.018, 98.984, 154.989, 72.984]",-10.8268
Cc1ccc(cc1N=C=O)N=C=O,"[175.05, 147.055, 132.044]",-2.0969
c1[n]c2ccccc2c2ccccc21,"[180.081, 152.062, 180.081]",-4.6821
c1c2ccccc2[n]c2ccccc21,"[180.081, 180.081]",-3.8697
CCOC(=O)Nc1cccc(c1)OC(=O)Nc1ccccc1,"[182.08, 136.038, 183.083, 136.038, 154.049, 182.08, 136.038, 154.049, 182.08, 136.038, 154.049, 137.041, 136.038, 137.042, 154.049, 182.081, 136.039, 154.05, 182.081, 136.039, 154.05, 136.039, 154.05, 182.081, 136.039, 154.05, 108.044, 136.039, 108.044, 154.05, 136.039, 108.044, 121.04, 108.044, 65.038, 121.04, 182.081, 136.039, 154.05, 136.039, 154.05, 182.081, 136.039, 154.05, 108.044, 136.039, 108.044, 154.05, 136.039, 108.044, 121.04, 108.044, 121.04, 65.038, 182.081, 136.039, 154.05]",-8.5229
CCNc1[n]c(NC(C)(C)C)[n]c([n]1)SC,"[186.081, 242.143, 91.032, 186.081, 171.057, 242.143, 242.144, 186.083, 227.119, 242.144, 186.081, 186.081, 242.144, 91.032, 186.081, 91.033, 138.078, 186.081, 91.032, 68.024, 68.024, 96.056, 91.032, 242.143, 186.081, 227.12, 242.143, 186.081, 227.12, 186.081, 242.143, 91.032, 186.081, 91.032, 158.049, 186.081, 91.032, 68.024, 68.024, 91.032, 96.056, 186.081, 171.057, 242.143]",-5.7721
CCCCN(CCCC)CCCC,"[186.221, 130.159, 74.096, 186.221, 130.159, 74.096, 186.222, 130.159, 74.096, 186.222, 130.159, 74.096, 130.159, 186.222, 57.07, 57.07, 130.159, 74.096]",-1.0297
CC(C)Nc1[n]c(Cl)[n]c(NC(C)C)[n]1,"[188.07, 146.023, 152.118, 230.117, 230.117, 188.07, 146.023, 188.07, 230.117, 146.023, 146.023, 188.07, 104.001, 146.023, 104.001, 79.006, 146.023, 104.001, 79.006, 230.117, 188.07, 146.023, 230.117, 188.07, 146.023, 188.07, 230.117, 146.023, 146.023, 188.07, 104.001, 146.023, 104.001, 79.006, 146.023, 104.001, 79.006, 188.07, 146.023, 152.118]",-6.8827
CC(C)(C#C)NC(=O)c1cc(Cl)cc(Cl)c1,"[189.982, 172.956, 256.029, 189.982, 256.029, 172.956, 189.982, 172.956, 256.029, 172.956, 189.982, 67.054, 172.956, 172.966, 189.982, 172.967, 172.956, 67.054, 172.967, 172.956, 108.984]",-6.3615
OC(=O)c1[n]c(Cl)ccc1Cl,"[191.961, 163.966, 145.956]",-4.9208
