SMILES,frag_list,LogBP
CCNc1[n]c(NC(C)C)[n]c([n]1)SC,"[228.128, 186.081, 96.056, 228.128, 186.081, 96.055, 228.128, 186.081, 96.056, 186.081, 228.128, 96.056, 186.081, 96.056, 91.032, 96.056, 186.081, 68.024, 68.024, 96.056, 71.06, 186.081, 228.128, 96.056, 96.055, 116.028, 186.081, 186.081, 228.128, 96.056, 186.081, 138.103, 96.056]",2.537819095
COc1cc(ccc1N)-c1cc(OC)c(N)cc1,"[230.106, 213.103, 215.082, 187.087, 198.079, 215.082, 230.106, 213.103, 214.111, 230.106, 213.103, 214.111]",2.551449998
CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,"[235.977, 264.009, 292.04, 235.977, 140.034, 253.988, 235.978, 140.034, 94.041, 94.041, 114.961, 123.031, 94.041, 114.961, 123.031, 94.041, 114.961, 123.031]",2.574031268
CCCCC/C=C\C/C=C\CCCCCCCC(O)=O,"[263.237, 245.226, 97.101, 97.101, 83.085, 69.07, 69.07, 81.07, 83.085, 69.07, 81.07, 95.085, 81.07, 67.054, 69.07, 67.054, 81.07, 91.054]",2.562530769
C=CCOC(C[n]1c[n]cc1)c1ccc(Cl)cc1Cl,"[297.056, 158.976, 69.045, 158.976, 109.076, 172.992, 158.976, 81.045, 141.07, 255.008, 200.987, 158.976, 255.009, 200.987, 158.976]",2.540329475
COC(=O)c1c(Cl)c(Cl)c(c(Cl)c1Cl)C(=O)OC,"[330.91, 98.984, 298.883, 98.984, 298.884, 330.91, 98.984, 298.884, 270.888, 98.984, 220.896, 270.888, 98.984, 220.896, 164.906, 98.984, 164.906, 220.896, 98.984, 164.906, 129.937, 98.984, 129.937, 164.906, 98.984, 129.937, 141.937]",2.562292864
CCOc1cc(ccc1[N+]([O-])=O)Oc1ccc(cc1Cl)C(F)(F)F,"[362.04, 315.998, 334.009, 237.04, 315.998, 273.988, 237.04, 203.013, 245.993, 237.04, 140.049, 210.029, 140.049, 182.034, 210.029, 140.049, 182.034, 132.018]",2.554125582
CCCCCC(C)N,"[57.07, 116.143, 53.002, 57.07, 116.143, 71.086, 57.07, 116.143, 71.085, 57.07, 116.143, 53.002, 57.07, 53.002, 71.085, 57.07, 53.002, 55.054]",2.152288344
CCCCN,"[57.07, 74.097, 53.002]",1.892094603
COCCOCCOCCOCCOC,"[59.049, 103.075, 147.102, 103.075, 59.049, 147.102, 59.049, 103.075, 89.06, 59.049, 103.075, 89.06, 59.049, 103.075, 89.06, 59.049, 103.075, 59.049, 103.075, 53.002, 59.049, 53.002, 59.049, 53.002, 59.049, 53.002]",2.439806211
COCCOCCOCCOC,"[59.049, 103.075, 89.06]",2.334453751
CC(C)NC(C)(C)C,"[60.081, 57.07, 116.143, 60.081, 57.07, 116.143, 60.081, 57.07, 116.143, 60.081, 57.07, 116.143, 57.07, 60.081, 53.002, 57.07, 60.081, 53.002, 57.07, 60.081, 53.002, 57.07, 53.002, 53.998, 53.002, 57.07, 58.065]",1.991226076
CCN(C)N=O,"[61.04, 89.071, 72.044, 61.04, 89.071, 72.044, 61.04, 89.071, 72.044, 61.04, 89.071, 72.044, 61.04, 89.071, 72.044, 61.04, 72.044, 89.071]",2.230448921
O=P(OCCCl)(OCCCl)OCCCl,"[63.0, 98.984, 284.961]",2.51851394
c1ccc[nH]1,"[68.05, 53.002]",2.112939976
CN(C)N=O,"[75.055, 58.053, 57.045, 75.055, 58.053, 75.055, 58.053, 57.045, 75.055, 58.053, 57.045, 75.055, 58.053, 57.045, 75.055, 58.053, 57.045]",2.187520721
Nc1ccc(cc1)/N=N/c1ccccc1,"[77.039, 105.045, 198.103, 77.039, 105.045, 95.049, 198.103, 77.039, 105.045, 77.039, 105.045, 95.049]",2.563481085
c1cccc[n]1,"[80.049, 96.044]",2.061452479
Cc1cc[nH][n]1,"[83.06, 56.05, 66.034]",2.309630167
NC1CCCCC1,"[83.085, 100.112, 55.054]",2.127104798
c1[n]cc[s]1,"[86.006, 58.995, 57.987]",2.071882007
C1CCCCN1,"[86.096, 69.07, 67.054]",2.025305865
C1COCCN1,"[88.076, 70.065, 68.049]",2.10720997
CCCN(CCC)N=O,"[89.071, 131.118, 53.002, 89.071, 131.118, 53.002, 89.071, 131.118, 53.002, 89.071, 53.002, 131.118, 53.002, 89.071, 53.998, 53.002, 53.997, 89.071]",2.31386722
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,"[91.054, 149.023, 205.086, 91.054, 149.023, 205.086, 91.054, 149.023, 57.07, 91.054, 149.023, 65.038, 91.054, 149.023, 65.038, 91.054, 65.038, 149.023, 91.054, 65.038, 121.028, 91.054, 65.038, 63.023, 65.038, 91.054, 63.023, 65.039, 91.054, 63.023]",2.568201724
C(c1ccccc1)N(Cc1ccccc1)Cc1ccccc1,"[91.054, 288.175, 181.101]",2.58546073
CNc1ccccc1,"[93.057, 108.081, 91.054]",2.292699003
Nc1ccccc1,"[94.065, 53.039, 105.045]",2.265218888
CCOC(=O)c1ccc(O)cc1,"[95.049, 121.028, 139.039, 121.028, 95.049, 77.038, 139.039, 121.028, 95.049, 139.039, 121.028, 95.049]",2.47348697
Cc1ccc[n][n]1,"[95.06, 68.049, 67.042]",2.330413773
Nc1cccc[n]1,"[95.06, 78.034, 67.054]",2.323458367
CC(C)COP(=O)(OCC(C)C)OCC(C)C,"[98.984, 155.047, 57.07, 98.984, 155.047, 57.07, 98.984, 155.047, 98.984, 155.047]",2.421603927
