SMILES,frag_list,LogWS
COc1[n]c(cc(NS(=O)(=O)c2ccc(N)cc2)[n]1)OC,"[156.011, 311.081, 156.076, 156.011, 156.076, 154.06, 154.06, 140.045, 156.076, 154.061, 141.052, 140.045, 311.081, 156.077, 156.011, 245.103, 156.077, 156.011, 311.081, 156.012, 311.081, 156.077, 156.011, 156.077, 156.011, 108.044, 156.077, 108.044, 92.049, 108.044, 92.049, 156.077, 108.044, 92.049, 65.039, 311.081, 156.077, 108.044, 311.081, 156.077, 156.011, 156.077, 156.011, 108.044, 156.077, 108.044, 92.049, 108.044, 92.049, 156.077, 92.049, 108.044, 65.038, 156.077, 245.103, 156.011]",2.53529412
Nc1ccc(cc1)S(=O)(=O)Nc1[n]cc[s]1,"[156.011, 108.046, 256.021, 156.012, 108.044, 92.049, 256.021, 156.011, 108.044, 156.011, 256.021, 108.044, 156.011, 108.044, 92.049, 108.044, 92.049, 156.011, 92.049, 108.044, 65.039, 92.049, 108.044, 65.039, 256.021, 156.011, 108.044, 156.011, 256.021, 108.044, 156.011, 108.044, 92.049, 108.044, 92.049, 156.011, 92.049, 108.044, 65.039, 92.049, 108.044, 65.039, 156.011, 108.044, 92.049]",2.571708832
COC(=O)NS(=O)(=O)c1ccc(N)cc1,"[156.011, 188.037, 108.044, 156.011, 231.043, 108.044, 156.011, 108.044, 92.049, 108.044, 156.011, 92.049, 108.044, 92.049, 65.038, 92.049, 108.044, 65.038, 92.049, 65.039, 108.044, 156.011, 231.043, 108.044, 156.012, 108.044, 92.049, 108.044, 156.011, 92.049, 108.044, 92.049, 65.038, 92.049, 108.044, 65.038, 92.049, 65.039, 108.044, 156.011, 188.037, 108.044]",3.698970004
Cc1[n][n]c(NS(=O)(=O)c2ccc(N)cc2)[s]1,"[156.012, 108.045, 68.049]",3.021189299
Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1,"[156.012, 108.046, 249.07, 249.069, 156.011, 108.044, 156.011, 249.069, 108.044, 108.044, 92.049, 156.011, 92.049, 108.044, 93.057, 92.049, 108.044, 65.038, 65.038, 92.049, 108.044, 65.039, 80.049, 93.057, 65.039, 80.049, 66.046, 65.039, 80.049, 53.039]",2.579783597
COc1c[n]c(NS(=O)(=O)c2ccc(N)cc2)[n]c1,"[156.012, 281.072, 126.066]",2.86332286
Cc1oc(NS(=O)(=O)c2ccc(N)cc2)[n]c1C,"[156.012, 113.072, 108.046]",3.224533063
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)[n]o1,"[156.012, 108.046, 254.06, 156.01, 254.059, 160.085, 156.01, 160.086, 147.078, 156.011, 146.071, 147.078, 146.07, 147.077, 119.061, 254.059, 156.01, 190.096, 254.059, 156.011, 108.044, 156.012, 188.082, 147.079, 254.06, 156.011, 190.098, 254.059, 156.011, 108.044, 156.012, 108.044, 92.049, 108.044, 92.049, 156.011, 108.044, 92.049, 65.039, 92.049, 108.044, 65.039, 254.06, 156.011, 188.082, 254.06, 156.011, 108.044, 156.011, 108.044, 92.049, 108.044, 92.049, 156.011, 108.044, 92.049, 65.039, 92.049, 108.044, 65.039, 156.011, 188.082, 147.079, 254.06, 156.011, 188.082, 92.049, 108.044, 156.011, 92.049, 65.039, 108.044]",2.785329835
CCOC(=O)C(O)(CC(=O)OCC)CC(=O)OCC,"[157.05, 133.049, 203.091]",4.812913357
c1ccc[n]c1-c1cccc[n]1,"[157.076, 130.065, 96.044]",3.773054693
O=C(Nc1ccc(Cl)cc1)NC(=O)c1c(F)cccc1F,"[158.04, 311.039, 313.036, 158.04, 141.013, 159.044, 158.04, 141.014, 142.016, 141.014, 158.04, 140.031, 141.014, 158.04, 158.041, 141.014, 311.039]",-1.096910013
O=C(Nc1cc(Cl)c(F)c(Cl)c1F)NC(=O)c1c(F)cccc1F,"[158.041, 141.014, 197.968, 380.981, 158.041, 158.041, 141.015, 158.041, 141.015, 195.961, 141.014, 158.041, 141.014, 141.026, 195.961, 141.014, 141.026, 195.96, 158.041, 380.981, 141.014, 158.041, 141.014, 197.968, 158.041, 141.014, 195.964, 141.014, 158.041, 195.965, 141.014, 195.964, 141.014, 141.025, 195.96, 158.041, 141.014, 197.968]",-1.721246399
CON(C)C(=O)Nc1cc(Cl)c(Cl)cc1,"[159.972, 182.024, 249.019, 182.024, 159.972, 187.966, 249.019, 182.024, 159.971, 159.971, 182.024, 249.019, 159.972, 182.024, 160.979, 159.972, 160.979, 182.024, 132.961, 159.972, 160.979, 132.961, 160.979, 125.003, 249.019, 182.024, 159.971, 159.972, 182.024, 249.019, 159.972, 182.024, 160.979, 159.971, 160.979, 182.024, 132.961, 159.971, 160.979, 132.961, 160.979, 125.003, 182.024, 159.971, 187.966, 159.971, 182.024, 160.979, 132.961, 160.979, 125.003, 182.024, 159.971, 187.966, 182.024, 159.971, 187.966]",1.875061263
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,"[160.039, 178.05, 113.06, 160.039, 133.028, 178.05, 160.039, 133.029, 105.034, 160.039, 133.028, 105.034, 160.039, 133.029, 105.034, 133.028, 95.049, 105.034]",1.387389826
COC(=O)Nc1[nH]c2ccccc2[n]1,"[160.05, 192.077, 132.056, 192.077, 160.051, 59.013, 160.05, 192.077, 59.013, 160.05, 192.077, 132.055, 160.05, 132.056, 192.077, 160.05, 132.056, 92.049, 160.05, 132.056, 105.045, 105.045, 132.056, 65.039, 65.039, 105.045, 90.034, 65.039, 105.045, 90.034, 160.05, 133.064, 160.05, 133.063, 160.05, 160.05]",1.462397998
Nc1cc(Cl)c(Cl)cc1,"[161.987, 127.018, 172.967]",1.963787827
CCC(=O)Nc1cc(Cl)c(Cl)cc1,"[161.987, 218.013, 127.018, 218.013, 161.987, 127.018, 161.987, 218.013, 127.018, 161.987, 127.018, 218.013, 127.018, 161.987, 57.034, 127.018, 161.987, 57.034, 127.018, 161.987, 57.034]",2.181843588
CCC1(C(=O)NCNC1=O)c1ccccc1,"[162.091, 119.085, 91.054, 162.091, 91.054, 119.085, 162.091, 174.091, 119.085, 219.113, 162.091, 174.091, 162.091, 119.085, 91.054, 91.054, 162.091, 119.085, 91.054, 117.07, 162.091, 91.054, 117.07, 106.065, 91.054, 117.07, 115.054, 219.113, 162.091, 174.091, 162.091, 119.085, 91.054, 162.091, 91.054, 119.085, 91.054, 117.07, 162.091, 91.054, 117.07, 106.065, 91.054, 117.07, 115.054, 162.091, 174.091, 119.085, 91.054, 162.092, 117.07, 91.054, 117.07, 106.065, 162.091, 174.091, 119.086, 162.092, 174.092, 119.086]",2.698970004
COC(=O)c1ccccc1C(=O)OC,"[163.039, 195.065, 163.039, 133.028, 77.038, 163.039, 133.029, 135.044, 163.039, 135.044, 133.028, 163.039, 135.044, 133.029, 95.049, 77.039, 105.045, 92.026, 77.038, 95.049, 92.026, 63.023, 77.038, 63.023, 51.023, 64.031]",3.602059991
CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c1ccccc1,"[163.039, 251.071, 309.112, 251.07, 163.039, 183.08, 121.028, 163.039, 155.085, 163.039, 251.07, 147.081, 163.039, 251.07, 147.08]",1.230448921
CN1CCC[C@H]1c1c[n]ccc1,"[163.123, 132.081, 106.065, 163.123, 132.081, 106.065, 132.081, 163.123, 130.065, 132.081, 130.065, 106.065, 130.065, 117.057, 132.081, 130.065, 117.057, 132.081]",6
CC1(C)Cc2cccc(OC(=O)NC)c2O1,"[165.091, 222.112, 123.044, 165.091, 123.044, 222.112, 123.044, 165.091, 137.06, 123.044, 165.091, 137.06, 123.044, 91.054, 95.049, 123.044, 95.049, 91.054]",2.505149978
Cc1[n]c(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC)[n]c([n]1)OC,"[167.056, 350.055, 199.006, 167.056, 382.082, 199.006, 167.056, 199.006, 141.077, 167.056, 199.006, 135.044, 167.056, 135.044, 141.077, 167.056, 135.044, 77.039, 77.039, 69.008, 92.026, 167.056, 382.082, 199.006, 167.056, 199.006, 141.077, 167.056, 199.006, 135.044, 167.056, 135.044, 141.077, 167.056, 135.044, 77.038, 77.039, 69.008, 92.026, 167.056, 350.055, 199.006]",3.977723605
Nc1[n]c(NC2CC2)[n]c(N)[n]1,"[167.105, 168.107, 125.082, 167.105, 125.082, 168.107, 167.104, 125.082, 139.073, 151.073, 125.083, 127.072, 151.071, 167.104, 85.051, 60.056]",4.113943352
Sc1[n]c2ccccc2[s]1,"[167.994, 135.014, 124.022, 167.994, 136.022, 92.049, 167.994, 135.014, 92.049, 167.994, 135.014, 124.022, 167.994, 135.014, 124.022, 167.994, 135.014, 124.022, 135.014, 109.011, 124.022, 65.039, 135.014, 109.011, 65.039, 108.003, 68.979, 68.979, 65.039, 108.003]",2.079181246
Cc1cc(ccc1)NC(=O)Oc1cc(ccc1)NC(=O)OC,"[168.065, 136.038, 169.068, 136.039, 168.065, 137.042, 136.038, 168.065, 137.042, 136.038, 137.042, 168.064, 136.039, 137.043, 168.065, 136.039, 168.065, 136.039, 136.039, 168.065, 108.044, 136.039, 108.044, 168.065, 136.039, 108.044, 93.033, 136.039, 108.044, 93.034, 65.039, 108.044, 121.04, 168.065, 136.039, 136.039, 168.065, 108.044, 136.039, 108.044, 168.065, 136.039, 108.044, 93.033, 136.039, 108.044, 121.04, 65.039, 108.044, 93.034, 168.065, 136.039]",0.672097858
c1cccc2[nH]c3ccccc3c21,"[168.081, 115.017, 168.081, 141.07, 167.073]",0.255272505
O=NN(c1ccccc1)c1ccccc1,"[169.089, 199.087, 168.081, 169.089, 168.081, 66.046, 169.089, 66.046, 168.081, 66.046, 168.081, 104.049, 66.046, 168.081, 104.049, 66.046, 168.081, 95.049]",1.544068044
c1ccccc1Nc1ccccc1,"[170.096, 93.057, 92.049, 170.096, 92.049, 93.057, 170.096, 93.057, 92.049, 170.096, 93.057, 92.049, 170.096, 93.057, 92.049, 93.057, 92.049, 170.096, 93.057, 92.049, 65.039]",1.72427587
COc1[n]c(NCC)[n]c(NC(C)CC)[n]1,"[170.104, 114.066, 142.072, 226.166, 226.167, 170.104, 96.056, 226.166, 170.104, 100.05, 170.104, 226.167, 100.051, 170.104, 100.051, 142.072, 100.05, 68.024, 69.008, 226.167, 173.114, 226.166, 170.104, 100.05, 226.167, 170.104, 100.051, 170.104, 226.167, 100.051, 170.103, 100.05, 142.072, 100.05, 68.024, 69.008, 170.104, 114.066, 226.166]",2.792391689
CCNc1[n]c(NC(C)(C)C)[n]c([n]1)OC,"[170.104, 114.067, 142.072, 226.167, 226.166, 170.104, 170.104, 226.166, 142.072, 170.104, 142.072, 114.066, 170.103, 142.072, 100.051, 100.051, 69.008, 75.055, 226.166, 170.104, 226.167, 170.104, 170.104, 226.166, 142.072, 170.104, 142.072, 114.066, 170.104, 142.072, 100.051, 100.051, 69.008, 75.055, 170.104, 114.066, 226.167]",2.113943352
