SMILES,frag_list,Kow
CC(=O)Nc1[n][n]c([s]1)S(N)(=O)=O,"[222.995, 180.985, 181.969, 180.985, 222.995, 181.969, 180.985, 181.969, 72.985, 181.969, 180.985, 72.986, 181.969, 72.986, 180.985, 72.986, 181.969, 58.982]",-0.26
CC(=O)Nc1ccc(Br)cc1,"[93.057, 213.986, 171.976]",2.29
CC(=O)Nc1ccc(N)cc1,"[151.087, 109.076, 92.049, 109.076, 151.087, 92.05, 109.076, 92.05, 108.069, 109.076, 151.087, 133.077, 109.076, 110.06, 133.077]",0.08
CC(=O)Nc1ccc(O)cc1,"[152.072, 110.062, 65.039, 152.071, 110.06, 93.034, 152.071, 110.06, 93.034, 152.071, 110.06, 134.06, 152.071, 110.06, 152.071, 110.06, 134.06, 152.071, 110.06, 134.06, 110.06, 152.071, 92.049, 110.06, 65.039, 93.034, 110.06, 65.039, 93.034, 152.071, 110.06, 152.071, 110.06, 65.038, 152.071, 110.06, 134.06, 110.06, 152.071, 65.039, 110.06, 65.039, 93.034, 110.06, 65.039, 92.049, 152.071, 110.06, 134.06, 110.06, 152.071, 92.049, 110.06, 92.049, 93.034, 110.06, 134.06, 152.071, 110.06, 134.06, 111.044]",0.46
CC(=O)Oc1ccccc1C(O)=O,"[149.023, 163.039, 181.049, 149.023, 163.039, 181.049, 149.023, 163.039, 121.028, 149.023, 163.039, 121.028, 149.023, 121.028, 65.038, 65.038, 121.028, 95.049, 65.038, 92.025, 95.049, 65.038, 92.025, 63.023, 63.023, 51.023, 65.038]",1.19
CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,"[415.211, 435.216, 397.201, 319.169, 279.173, 397.201, 147.08, 279.173, 291.174, 147.079, 171.079, 237.126, 147.079, 159.079, 171.08, 397.201, 319.169, 337.179, 147.08, 291.174, 279.174, 147.08, 121.065, 171.08, 91.054, 121.065, 147.08, 91.054, 128.062, 105.07]",2.84
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]43CCC(=O)O4)[C@@H]21,"[417.21, 417.209]",2.52
CC(C(O)=O)c1cc(ccc1)C(=O)c1ccccc1,"[255.098, 209.093, 256.1, 209.093, 210.096, 177.053, 209.092, 177.052, 194.069, 209.096, 105.033, 255.101, 209.096, 105.033, 177.055, 255.102, 209.096, 105.033, 209.096, 105.034, 255.102, 105.034, 209.096, 177.055, 105.034, 177.055, 209.096, 105.034, 77.039, 103.054, 105.033, 77.039, 103.054, 255.102, 209.096, 105.033, 209.096, 105.034, 255.101, 105.034, 209.096, 177.055, 105.034, 177.055, 209.096, 105.034, 77.039, 103.054, 105.034, 77.039, 103.054, 209.096, 105.034, 177.054, 105.034, 209.096, 177.055, 105.034, 77.039, 103.054, 209.096, 105.033, 177.055, 209.096, 105.034, 177.055]",3.12
CC(C)(C)C(=O)N(Cc1ccccc1)C(C)C,"[91.054, 192.138, 142.123, 234.185, 91.054, 142.123, 234.185, 91.054, 192.138, 91.054, 234.186, 192.138, 91.054, 57.07, 192.138, 91.054, 57.07, 105.07, 91.054, 65.039, 57.07, 234.185, 91.054, 57.07, 234.185, 91.054, 192.138, 91.054, 234.185, 192.138, 91.054, 192.138, 57.07, 91.054, 57.07, 133.101, 91.054, 65.039, 57.07, 91.054, 192.138, 142.123]",3
CC(C)(C)C(O)(C[n]1c[n]c[n]1)CCc1ccc(Cl)cc1,"[70.04, 308.152, 125.015, 290.142, 151.031, 165.046, 308.153, 308.152, 70.04, 125.015, 70.04, 125.015, 308.153, 70.04, 125.015, 151.031, 70.04, 125.015, 151.031, 70.04, 125.015, 116.062, 308.152, 70.04, 125.015, 308.153, 70.04, 125.015, 70.04, 125.015, 151.031, 70.04, 125.015, 151.031, 70.04, 125.015, 116.062, 70.04, 125.015, 116.062, 290.141, 151.031, 165.046, 70.04, 308.152, 125.015, 70.04, 125.015, 151.031, 70.04, 125.015, 116.062, 151.031, 290.142, 165.047, 151.031, 290.142, 165.047]",3.7
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)[n]1c[n]c[n]1,"[70.04, 99.081, 227.083]",2.9
CC(C)(C)c1cccc([n]1)C(C)(C)C,"[192.175, 83.085, 111.08, 192.175, 111.08, 83.085, 192.175, 177.151, 163.136, 192.175, 177.151, 163.136, 162.128, 177.151, 192.175, 162.128, 176.143, 148.112, 162.128, 147.104, 146.096, 146.096, 132.081, 147.104, 146.096, 132.081, 104.049]",4.14
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@@]21C,"[167.085, 165.07, 152.062, 373.286, 305.259, 306.263, 95.085, 93.07, 81.07, 305.259, 373.286, 355.275, 305.259, 355.275, 306.263]",3.03
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,"[226.144, 152.07, 227.148, 152.07, 153.072, 125.059, 152.07, 125.06, 135.044]",0.9
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc21,"[310.201, 254.139, 236.129, 254.139, 310.201, 236.128, 201.091, 74.06, 236.128, 74.06, 201.091, 171.081, 74.06, 145.065, 56.05, 74.06, 145.065, 56.05]",0.81
CC(C)(C#C)NC(=O)c1cc(Cl)cc(Cl)c1,"[189.982, 172.956, 256.029, 189.982, 256.029, 172.956, 189.982, 172.956, 256.029, 172.956, 189.982, 67.054, 172.956, 172.966, 189.982, 172.967, 172.956, 67.054, 172.967, 172.956, 108.984]",3.43
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,"[201.079, 159.116, 95.085, 229.121, 201.079, 95.085, 229.122, 109.101, 201.079, 229.122, 219.09, 95.086, 95.085, 81.07, 109.102, 95.085, 81.07, 159.117, 169.086, 147.117]",3.32
CC(C)(Oc1ccc(Cl)cc1)C(O)=O,"[159.031, 169.017, 77.038, 159.031, 77.038, 105.045, 77.039, 105.045, 95.05, 159.03, 77.038, 169.017, 105.045, 53.038, 77.038, 77.038, 53.039, 105.045]",2.57
CC(C)C1(C)N=C(NC1=O)c1[n]c2ccccc2cc1C(O)=O,"[312.134, 270.087, 294.123, 312.134, 267.113, 270.087, 199.05, 267.113, 252.077, 199.05, 69.07, 86.096, 181.04, 69.07, 197.071, 181.04, 153.045, 146.06, 146.06, 129.045, 153.045, 75.023, 129.045, 128.049, 75.023, 129.045, 74.015]",1.86
CC(C)c1ccc(N)cc1,"[136.112, 94.065, 91.054, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 147.092, 136.112, 94.065, 91.054, 136.112, 94.065, 91.054, 94.065, 91.054, 136.112, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 147.091, 136.112, 94.065, 91.054, 136.112, 94.065, 91.054, 94.065, 91.054, 136.112, 136.112, 94.065, 121.088, 136.113, 94.066, 91.055, 94.065, 136.113, 91.055, 136.113, 94.066, 121.089, 94.065, 121.089, 105.034]",2.49
CC(C)N(C(=O)CCl)c1ccccc1,"[212.083, 170.036, 214.08, 170.036, 172.033, 171.039, 170.036, 172.033, 152.025, 152.025, 170.036, 172.033, 170.037, 212.084, 94.065, 170.037, 152.026, 212.085, 212.084, 170.037, 152.025, 170.037, 212.084, 152.026, 170.037, 152.026, 212.083, 170.037, 94.065, 106.065, 94.065, 106.065, 170.037, 94.065, 106.065, 77.038, 212.084, 170.037, 152.026, 170.037, 212.084, 152.026, 170.037, 212.084, 152.026, 170.037, 94.065, 106.065, 94.065, 106.065, 170.037, 94.065, 106.065, 77.039, 170.037, 152.026, 212.084]",2.18
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,"[304.009, 142.922, 86.06, 304.009, 86.06, 128.107, 86.06, 142.922, 304.009, 142.922, 86.06, 140.933, 142.922, 82.945, 140.933, 142.922, 82.945, 58.065, 82.945, 142.922, 58.065, 82.945, 142.922, 58.065, 82.945, 106.945, 60.984, 82.945, 106.945, 72.984]",4.6
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,"[199.017, 199.017, 199.017, 135.055, 120.045, 199.017, 135.055, 120.044, 107.06, 135.055, 120.044, 107.06, 120.044, 92.049, 107.06, 80.049, 120.044, 199.017, 199.017, 120.044, 199.017, 135.055, 107.06, 107.06, 120.044, 135.055, 107.06, 120.044, 80.049, 107.06, 80.049, 120.044, 199.017]",2.34
