SMILES,frag_list,MP
CC(C)Nc1ccc(cc1)Nc1ccccc1,"[120.081, 227.155, 195.105, 120.081, 180.081, 178.078, 227.155, 120.081, 193.102, 120.081, 193.102, 178.078]",74
CCCCC(COP(O)(=O)OCC(CCCC)CC)CC,"[98.984, 71.086, 57.07]",-50
CC1=CC(=O)N=C(N1)C(C)C,"[153.102, 154.104, 155.107, 153.102, 154.104, 137.07, 137.07, 153.102, 138.077, 137.07, 138.074, 153.1, 153.102, 84.044, 70.065, 153.102, 84.044, 70.065, 153.102, 84.045, 138.079, 153.102, 84.045, 137.071, 153.102, 84.044, 70.065, 153.102, 84.044, 70.065, 84.044, 153.102, 70.065, 84.044, 70.065, 153.102, 153.102, 84.044, 137.07, 153.102, 84.044, 137.071, 153.102, 84.044, 70.065, 153.102, 84.044, 70.065, 84.044, 153.102, 70.065, 84.044, 70.065, 153.102, 153.102, 84.044, 70.065, 153.103, 84.045, 70.065, 84.044, 153.103, 70.065, 153.103, 84.045, 70.065, 84.044, 153.103, 70.065]",172.95
CC1(C)CON(Cc2ccccc2Cl)C1=O,"[125.015, 240.079, 128.071, 125.015, 128.071, 100.076, 240.079, 125.015, 128.07, 125.015, 240.079, 128.071, 125.015, 240.08, 89.039, 125.015, 89.039, 125.015, 89.038, 99.0, 125.015, 89.039, 99.0, 240.079, 125.015, 128.071, 125.015, 240.079, 128.071, 125.015, 240.079, 73.065, 125.015, 89.039, 99.0, 125.015, 89.039, 99.0, 125.015, 89.039, 99.0, 125.015, 128.071, 100.076, 125.015, 240.078, 89.038, 125.015, 89.038, 98.999, 125.015, 128.07, 240.078, 125.015, 128.07, 100.076]",25
Cc1cc([n]c(Nc2ccccc2)[n]1)C1CC1,"[226.134, 210.102, 144.081, 226.134, 226.134, 226.134, 108.081, 133.076, 226.134, 108.081, 133.076, 226.134, 108.081, 93.057, 93.057, 226.135, 108.081, 226.134, 226.134, 226.134, 108.081, 185.107, 226.134, 108.081, 133.076, 226.134, 108.081, 93.057, 93.057, 108.081, 91.054, 226.134, 210.102, 185.107]",75.9
CC(C)Cc1c(C2=NCCS2)c([n]c(C(F)F)c1C(=O)OC)C(F)(F)F,"[397.1, 377.094, 317.09, 335.046, 377.094, 61.011, 335.047, 303.021, 61.011, 61.011, 275.026, 319.015, 61.011, 271.014, 275.026]",78
Cc1[n]c([n]c(OC(=O)N(C)C)c1C)N(C)C,"[72.044, 239.15, 182.129, 182.129, 195.161, 72.044, 239.15, 182.129, 72.044, 239.15, 182.129, 72.044, 72.044, 182.129, 239.151, 72.044, 182.129, 85.076, 72.044, 85.076, 109.076, 72.044, 109.076, 85.076, 239.15, 182.129, 72.044, 239.15, 182.129, 72.044, 72.044, 182.129, 239.149, 72.044, 182.129, 85.076, 72.044, 85.076, 182.129, 72.044, 109.076, 85.076, 182.129, 195.161, 72.044, 72.044, 182.129, 85.076, 72.044, 109.076, 85.076, 182.129, 195.16, 239.15, 182.129, 195.16, 72.044]",90.5
CCS(=O)(=O)c1ccc[n]c1S(=O)(=O)NC(=O)Nc1[n]c(cc([n]1)OC)OC,"[325.096, 182.056, 368.101, 432.064, 325.096, 182.056, 182.056, 325.096, 106.065, 182.056, 106.065, 156.077, 182.056, 106.065, 83.024, 83.024, 139.05, 182.056, 83.024, 139.05, 106.065, 432.064, 325.096, 182.056, 182.056, 325.096, 106.065, 182.056, 106.065, 156.077, 182.056, 106.065, 83.024, 83.024, 139.05, 182.056, 83.024, 139.05, 157.061, 325.096, 182.056, 251.015]",177
CC/C(=C(/c1ccc(cc1)OCCN(C)C)\c1ccccc1)/c1ccccc1,"[72.081, 372.232, 70.065]",97
O=C(Nc1ccccc1)Nc1cc(Cl)[n]cc1,"[248.058, 129.021, 155.001, 129.021, 155.001, 248.059, 129.021, 155.001, 111.055, 129.021, 111.055, 155.001, 111.055, 129.021, 93.045, 111.055, 129.021, 93.045, 111.055, 66.034, 93.045, 66.034, 111.055, 56.05, 66.034, 52.018, 67.029]",167
C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,"[116.071, 70.065, 75.026]",106
Oc1ccc2ccc3cccc4ccc1c2c34,"[201.07, 191.081, 191.086, 201.07, 203.143, 202.077]",180
OC(=O)c1cc(ccc1)Oc1ccccc1,"[171.08, 171.08, 171.08]",149.5
Cc1cc2[n][n][nH]c2cc1,"[134.071, 135.075, 134.071, 135.074, 134.071, 79.054, 106.065, 134.071, 79.054, 106.065, 134.071, 106.065, 79.054, 134.071, 134.071, 77.039, 79.054, 134.071, 106.065, 79.054, 134.071, 79.054, 106.065, 134.071, 79.054, 77.039, 134.071, 77.039, 79.054, 134.071, 79.054, 134.071, 106.065, 79.054, 134.071, 106.065, 79.054, 134.071, 79.054, 106.065, 134.071, 79.054, 77.039, 134.071, 77.039, 79.054, 134.071, 106.065, 79.054, 134.071, 79.054, 77.039, 77.039, 79.054, 134.071, 77.039, 51.023, 53.038]",81
OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl,"[419.004, 337.075, 221.019, 419.004, 238.985, 221.019]",130
CC(C)(Oc1ccc(Cl)cc1)C(O)=O,"[159.031, 169.017, 77.038, 159.031, 77.038, 105.045, 77.039, 105.045, 95.05, 159.03, 77.038, 169.017, 105.045, 53.038, 77.038, 77.038, 53.039, 105.045]",118.5
CN(C)C(=O)Nc1ccc(cc1)C(C)C,"[207.149, 208.152, 165.101, 207.149, 165.101, 134.095, 134.096, 165.101, 162.089, 134.095, 119.072, 118.064, 118.065, 119.071, 134.096, 72.044, 207.149, 165.102, 72.044, 165.102, 207.149, 207.149, 72.044, 165.102, 207.149, 72.044, 165.102, 72.044, 207.149, 165.102, 72.044, 165.102, 134.096, 72.044, 134.096, 91.054, 72.044, 134.096, 91.054, 207.149, 72.044, 165.102, 207.149, 72.044, 165.102, 72.044, 207.149, 165.102, 72.044, 165.102, 134.096, 72.044, 134.096, 91.054, 72.044, 134.096, 91.054, 72.044, 165.102, 207.149, 72.044, 165.102, 134.096, 72.044, 134.096, 107.085, 72.044, 165.102, 162.091, 72.044, 165.102, 162.091]",158
COc1ccc(cc1Cl)NC(=O)N(C)C,"[229.074, 72.044, 184.016, 72.044, 229.074, 156.021, 72.044, 156.021, 229.074, 72.044, 156.021, 149.047, 72.044, 156.021, 106.029, 72.044, 106.029, 156.021, 72.044, 80.013, 56.013, 72.044, 56.013, 52.018, 72.044, 52.018, 56.013]",126.5
Cc1cc2ccc(Cl)c(C(O)=O)c2[n]c1,"[204.021, 222.032, 176.026, 204.021, 222.032, 140.049, 204.021, 222.032, 140.049, 204.021, 222.032, 176.026, 204.021, 176.026, 222.032, 141.057, 204.021, 149.015, 141.057, 149.015, 140.049, 140.049, 141.057, 149.015, 140.049, 113.038, 114.046, 113.039, 88.031, 140.049]",244
CCNc1[n]c(NC(C)(C)C)[n]c([n]1)OC,"[170.104, 114.067, 142.072, 226.167, 226.166, 170.104, 170.104, 226.166, 142.072, 170.104, 142.072, 114.066, 170.103, 142.072, 100.051, 100.051, 69.008, 75.055, 226.166, 170.104, 226.167, 170.104, 170.104, 226.166, 142.072, 170.104, 142.072, 114.066, 170.104, 142.072, 100.051, 100.051, 69.008, 75.055, 170.104, 114.066, 226.167]",123.5
CN(C)CCCN1c2ccccc2CCc2ccccc12,"[86.097, 58.065, 208.112]",174.5
O=C1Nc2cc(Cl)ccc2N1C1CCN(CCCN2c3ccccc3NC2=O)CC1,"[175.087, 426.169, 147.055]",242.5
